310,0.1375
320,0.1430
330,0.1465
340,0.1488
350,0.1510
360,0.1468
370,0.1470
380,0.1582
390,0.1712
400,0.1821
410,0.1915
420,0.2000
430,0.2078
440,0.2152
450,0.2222
460,0.2290
470,0.2356
480,0.2421
490,0.2484
500,0.2547
510,0.2608
520,0.2669
530,0.2729
540,0.2789
550,0.2848
560,0.2907
570,0.2966
580,0.3023
590,0.3081
600,0.3138
610,0.3195
620,0.3252
630,0.3308
640,0.3364
650,0.3421
660,0.3477
670,0.3532
680,0.3588
690,0.3644
700,0.3699
710,0.3755
720,0.3810
730,0.3865
740,0.3920
750,0.3975
760,0.4031
770,0.4085
780,0.4140
790,0.4195
800,0.4250
810,0.4304
820,0.4359
830,0.4413
840,0.4468
850,0.4523
860,0.4576
870,0.4630
880,0.4685
890,0.4739
900,0.4793
910,0.4845
920,0.4898
930,0.4948
940,0.4995
950,0.5033
960,0.506
970,0.507
980,0.505
990,0.500
1000,0.489
1010,0.472
1020,0.447
1030,0.413
1040,0.370
1050,0.321
1060,0.267
1070,0.223
1080,0.187
1090,0.154
1100,0.125
