######################################################################
# Flux calibration file: fluxcal_20140529150721.txt
# Date: 20140529
# Time: 15:07:21
# Target flux =  5000.00
# System Gain =     2.50 e-/DN
# Exposure Limits =     2.00      60.00
# Lamp Manufacturer = Newport
# Lamp Model = 699xx
# Lamp bulb hours = 339.0
# Last calibration file: fluxcal_20140529112656.txt
######################################################################
command    wl     flux       signal    exptime   previous    % change
fluxcal    790     5874.48    11748.96     2.00     5848.41      0.45
fluxcal    795     5816.70    11633.40     2.00     5775.86      0.71
fluxcal    800     5762.45    11524.89     2.00     5730.62      0.56
fluxcal    805     5708.69    11417.38     2.00     5686.68      0.39
fluxcal    810     5668.57    11337.14     2.00     5643.31      0.45
fluxcal    815     5615.86    11231.73     2.00     5589.11      0.48
fluxcal    820     5552.12    11104.24     2.00     5530.56      0.39
fluxcal    825     5489.87    10979.73     2.00     5471.76      0.33
fluxcal    830     5436.54    10873.08     2.00     5424.32      0.23
fluxcal    835     5401.03    10802.05     2.00     5396.62      0.08
fluxcal    840     5398.89    10797.79     2.00     5396.65      0.04
fluxcal    845     5412.92    10825.84     2.00     5420.08     -0.13
fluxcal    850     5482.65    10965.30     2.00     5473.28      0.17
fluxcal    855     5556.05    11112.09     2.00     5551.18      0.09
fluxcal    860     5636.78    11273.56     2.00     5641.22     -0.08
fluxcal    865     5733.56    11467.12     2.00     5733.82     -0.00
fluxcal    870     5818.95    11637.90     2.00     5829.27     -0.18
fluxcal    875     5861.25    11722.50     2.00     5907.59     -0.78
fluxcal    880     5953.44    11906.87     2.00     5984.99     -0.53
fluxcal    885     6020.42    12040.84     2.00     6048.76     -0.47
fluxcal    890     6073.01    12146.02     2.00     6113.24     -0.66
fluxcal    895     6108.05    12216.11     2.00     6163.85     -0.91
fluxcal    900     6151.15    12302.30     2.00     6206.08     -0.89
fluxcal    905     6160.68    12321.37     2.00     6247.83     -1.39
fluxcal    910     6175.45    12350.90     2.00     6282.03     -1.70
fluxcal    915     6183.22    12366.44     2.00     6301.01     -1.87
fluxcal    920     6188.99    12377.98     2.00     6311.41     -1.94
fluxcal    925     6201.05    12402.10     2.00     6293.35     -1.47
fluxcal    930     6117.18    12234.35     2.00     6214.57     -1.57
fluxcal    935     5940.05    11880.11     2.00     6046.18     -1.76
fluxcal    940     5775.47    11550.94     2.00     5896.12     -2.05
fluxcal    945     5575.06    11150.13     2.00     5714.13     -2.43
fluxcal    950     5372.02    10744.04     2.00     5525.26     -2.77
fluxcal    955     5212.86    10425.73     2.00     5381.62     -3.14
fluxcal    960     5038.38    10076.77     2.00     5221.90     -3.51
fluxcal    965     4833.84     9667.69     2.00     5031.01     -3.92
fluxcal    970     4608.16     9216.32     2.00     4821.58     -4.43
fluxcal    975     4353.80     8707.60     2.00     4576.27     -4.86
fluxcal    980     4099.36     8198.72     2.00     4332.36     -5.38
fluxcal    985     3822.85     7645.70     2.00     4063.87     -5.93
fluxcal    990     3516.98     7033.95     2.00     3767.60     -6.65
fluxcal    995     3196.84     6393.68     2.00     3454.60     -7.46
fluxcal   1000     2890.63     5781.27     2.00     3155.13     -8.38
fluxcal   1005     2569.13     5138.25     2.00     2835.68     -9.40
fluxcal   1010     2246.62     4493.25     2.00     2501.15    -10.18
fluxcal   1015     1937.01     4447.68     2.30     2177.55    -11.05
fluxcal   1020     1648.16     4399.91     2.67     1872.95    -12.00
fluxcal   1025     1394.03     4357.26     3.13     1599.66    -12.85
fluxcal   1030     1168.24     4310.55     3.69     1355.09    -13.79
fluxcal   1035      953.84     4221.58     4.43     1129.72    -15.57
fluxcal   1040      738.55     4087.00     5.53      903.54    -18.26
fluxcal   1045      597.15     4120.01     6.90      724.70    -17.60
fluxcal   1050      510.74     4111.54     8.05      621.10    -17.77
fluxcal   1055      444.15     4049.04     9.12      548.47    -19.02
fluxcal   1060      378.06     4011.35    10.61      471.24    -19.77
fluxcal   1065      325.22     3986.61    12.26      407.89    -20.27
fluxcal   1070      277.97     3950.17    14.21      351.84    -21.00
fluxcal   1075      234.85     3891.26    16.57      301.76    -22.17
fluxcal   1080      201.83     3866.20    19.16      261.02    -22.68
fluxcal   1085      174.95     3838.19    21.94      227.91    -23.24
fluxcal   1090      151.80     3812.06    25.11      199.10    -23.76
fluxcal   1095      131.27     3789.45    28.87      173.20    -24.21
fluxcal   1100      112.20     3753.90    33.46      149.45    -24.92
