750	286.1	0.4	0.66	188.07		285.9	0.3975	0.6572	187.8935		285.7	0.3977	0.66	187.86		0.1	-0.02
760	286.6	0.4	0.66	188.49		286.4	0.4031	0.6577	188.3623		286.1	0.4032	0.66	188.21		0.07	-0.08
770	286.5	0.41	0.66	188.56		286.3	0.4085	0.6578	188.3408		286.1	0.4087	0.66	188.3		0.12	-0.02
780	286.8	0.41	0.66	188.85		286.6	0.4140	0.6582	188.6269		286.4	0.4142	0.66	188.59		0.12	-0.02
790	287	0.42	0.66	189.02		286.8	0.4195	0.6585	188.8451		286.6	0.4197	0.66	188.8		0.09	-0.02
800	287.3	0.43	0.66	189.3		287.1	0.4250	0.6588	189.1271		286.8	0.4252	0.66	189.02		0.09	-0.06
810	287.5	0.43	0.66	189.52		287.3	0.4304	0.6589	189.2974		287.1	0.4307	0.66	189.3		0.12	0
820	287.8	0.44	0.66	189.75		287.6	0.4359	0.6592	189.5761		287.4	0.4360	0.66	189.49		0.09	-0.05
830	287.9	0.44	0.66	189.9		287.7	0.4413	0.6593	189.6782		287.4	0.4415	0.66	189.57		0.11	-0.06
840	288.2	0.45	0.66	190.17		288	0.4468	0.6596	189.9538		287.7	0.4470	0.66	189.84		0.11	-0.06
850	288.5	0.45	0.66	190.4		288.3	0.4523	0.6598	190.2278		288	0.4524	0.66	190.07		0.09	-0.08
860	288.6	0.46	0.66	190.5		288.4	0.4576	0.6598	190.2850		288.2	0.4578	0.66	190.24		0.11	-0.03
870	288.9	0.46	0.66	190.77		288.6	0.4630	0.6599	190.4495		288.4	0.4632	0.66	190.4		0.17	-0.03
880	289.2	0.47	0.66	190.96		288.9	0.4685	0.6602	190.7200		288.5	0.4687	0.66	190.54		0.13	-0.1
890	289.3	0.47	0.66	191.01		289	0.4739	0.6603	190.8166		288.8	0.4740	0.66	190.72		0.1	-0.05
900	289.6	0.48	0.66	191.24		289.3	0.4793	0.6604	191.0447		289.1	0.4794	0.66	190.95		0.1	-0.05
910	289.8	0.48	0.66	191.33		289.5	0.4845	0.6602	191.1273		289.3	0.4847	0.66	191.07		0.1	-0.03
