310,0.1382
320,0.1437
330,0.1471
340,0.1494
350,0.1507
360,0.1474
370,0.1477
380,0.1587
390,0.1717
400,0.1826
410,0.1918
420,0.2004
430,0.2081
440,0.2156
450,0.2226
460,0.2294
470,0.2360
480,0.2425
490,0.2488
500,0.2550
510,0.2612
520,0.2672
530,0.2732
540,0.2792
550,0.2851
560,0.2910
570,0.2968
580,0.3026
590,0.3083
600,0.3141
610,0.3198
620,0.3254
630,0.3311
640,0.3367
650,0.3423
660,0.3479
670,0.3535
680,0.3590
690,0.3646
700,0.3702
710,0.3757
720,0.3812
730,0.3867
740,0.3922
750,0.3977
760,0.4032
770,0.4087
780,0.4142
790,0.4197
800,0.4252
810,0.4307
820,0.4360
830,0.4415
840,0.4470
850,0.4524
860,0.4578
870,0.4632
880,0.4687
890,0.4740
900,0.4794
910,0.4847
920,0.4900
930,0.4951
940,0.4999
950,0.5039
960,0.508
970,0.508
980,0.508
990,0.504
1000,0.496
1010,0.482
1020,0.460
1030,0.430
1040,0.390
1050,0.343
1060,0.290
1070,0.246
1080,0.209
1090,0.175
1100,0.143
