749.99,-1.9294e-09,-4.86103e-07,251.945
755.01,-1.82185e-09,-4.59573e-07,252.256
760.01,-1.8551e-09,-4.65865e-07,251.127
765.00,-3.30455e-09,-8.35979e-07,252.978
769.99,-1.64296e-09,-4.13547e-07,251.709
775.00,-1.39478e-09,-3.50186e-07,251.069
780.00,-1.28484e-09,-3.22916e-07,251.328
784.99,-1.2668e-09,-3.1853e-07,251.445
790.00,-1.65066e-09,-4.15652e-07,251.81
795.01,-1.35951e-09,-3.41616e-07,251.279
800.00,-1.50309e-09,-3.76687e-07,250.608
804.99,-1.28682e-09,-3.23687e-07,251.54
810.00,-1.36673e-09,-3.44164e-07,251.816
814.99,-1.40063e-09,-3.51607e-07,251.035
820.01,-2.85266e-09,-7.18721e-07,251.948
824.99,-1.2337e-08,-3.10133e-06,251.384
829.99,-5.61067e-09,-1.41599e-06,252.374
835.01,-4.878e-09,-1.22563e-06,251.257
839.99,-2.28432e-09,-5.74588e-07,251.536
844.99,-1.10236e-09,-2.77761e-07,251.969
850.01,-8.43892e-10,-2.13258e-07,252.708
854.99,-8.7231e-10,-2.20207e-07,252.441
859.99,-9.73859e-10,-2.46144e-07,252.751
865.01,-1.16989e-09,-2.95332e-07,252.444
869.98,-1.51015e-09,-3.80038e-07,251.656
875.01,-2.0979e-09,-5.29266e-07,252.284
880.00,-8.00736e-09,-2.02576e-06,252.987
895.01,-8.34938e-09,-2.1098e-06,252.689
900.02,-3.27851e-09,-8.27101e-07,252.28
905.01,-9.14861e-09,-2.31298e-06,252.823
910.01,-2.21593e-09,-5.59339e-07,252.417
915.01,-8.60902e-09,-2.17984e-06,253.204
920.00,-5.28988e-09,-1.34185e-06,253.664
925.00,-2.26116e-09,-5.73465e-07,253.615
929.99,-1.82196e-09,-4.62499e-07,253.847
935.00,-2.15091e-09,-5.47706e-07,254.639
939.99,-4.44324e-09,-1.13012e-06,254.346
945.00,-3.50982e-09,-8.95621e-07,255.176
950.00,-4.21581e-09,-1.07584e-06,255.192
954.99,-2.76948e-09,-7.07072e-07,255.309
959.99,-1.49452e-09,-3.81532e-07,255.287
965.01,-1.45593e-09,-3.71553e-07,255.2
969.99,-2.51297e-09,-6.40947e-07,255.056
975.01,-2.42527e-09,-6.16225e-07,254.085
980.01,-1.07101e-08,-2.73634e-06,255.492
985.01,-1.79997e-09,-4.58932e-07,254.966
989.99,-4.43623e-09,-1.13729e-06,256.364
995.01,-5.83214e-09,-1.4973e-06,256.733
999.99,-1.53984e-09,-3.93507e-07,255.551
